,song,artist,genre,artists(shazam),songwriters,producers
89,Shape Of You,Ed Sheeran,Pop,"['Ed Sheeran', 'Geo Gabriel', 'Travis Cole', 'Wayne Hernandez', 'Chris Laws', 'Steve Mac']","['Kandi Burruss', 'Kevin Shekspere Briggs', 'Johnny McDaid', 'Steve Mac', 'Ed Sheeran', 'Tameka Cottle']","['Ed Sheeran', 'Chris Laws', 'Joe Rubel', 'Stuart Hawkes', 'Geoff Swan', 'Michael Freeman', 'Daniel Pursey', 'Steve Mac', 'Mark ""Spike"" Stent']"
90,Everybody Wants To Rule The World,Tears for Fears,Pop,"['Roland Orzabal', 'Curt Smith', 'Ian Stanley', 'Manny Elias', 'Neil Taylor', 'Chris Merrick Hughes']","['Ian Stanley', 'Chris Merrick Hughes', 'Roland Orzabal']","['Andrew Walter', 'Chris Merrick Hughes', 'David Bascombe']"
91,Stargazing,Myles Smith,Singer/Songwriter,['Myles Smith'],"['Jesse Fink', 'Myles Smith', 'Peter Fenn']",
92,Thinkin' Bout Me,Morgan Wallen,Country,,"['Taylor Delmar Phillips', 'John Byron', 'Ashley Gorley', 'Charlie Handsome']",
93,Strangers,Kenya Grace,Dance,['Kenya Grace'],['Kenya Grace'],
94,Every Breath You Take,The Police,Rock,"['Andy Summers', 'Stewart Copeland', 'Sting']",['Sting'],"['The Police', 'Hugh Padgham', 'Renate Blauel', 'Robbie Whelan']"
95,Dreams,Fleetwood Mac,Rock,"['Stevie Nicks', 'John McVie', 'Mick Fleetwood', 'Lindsey Buckingham', 'Christine McVie']",['Stevie Nicks'],"['Fleetwood Mac', 'Ken Caillat', 'Richard Dashut', 'Ken Perry', 'Bill Inglot', 'Dan Hersch', 'David McLees', 'Brian Kehew', 'Charlie Watts', 'Chris Morris', 'Garry Peterson']"
96,"Yes, And?",Ariana Grande,Pop,['Ariana Grande'],"['Ariana Grande', 'Ilya Salmanzadeh', 'Max Martin']",
97,Levitating,Dua Lipa,Pop,"['Dua Lipa', 'Sarah Hudson', 'Stephen Kozmeniuk', 'Lorna Blackwood', 'Paul Phamous', 'Todd Clark', 'Clarence Coffee Jr', 'Stuart Price', 'Russell Graham', 'Homer Steinweiss', 'Bosko Kante']","['Dua Lipa', 'Stephen Kozmeniuk', 'Sarah Hudson', 'Clarence Coffee Jr']","['Stephen Kozmeniuk', 'Lorna Blackwood', 'Elijah Marrett-Hitch', 'Phil Hotz', 'Stuart Price', 'Chris Gehringer', 'Josh Gudwin', 'Cameron Poole', 'KOZ', 'Matthew Snell']"
98,All I Want For Christmas Is You,Justin Bieber & Mariah Carey,Christmas,"['Justin Bieber', 'Mariah Carey', 'James""Big Jim"" Wright', 'Jerohn Garnett', 'Lloyd ""Sonny"" Thompson', 'Doc Powell', 'Sherry McGhee', 'Melanie Daniels', 'Sharlotte Gibson', 'Angie Fisher', 'Micah Tolentino']","['Ã\x8cÃ\xa0Ã°Ãª Ã\x98Ã½Ã©Ã¬Ã¥Ã\xad', 'Mariah Carey', 'Brad Dechter', 'Walter Afanasieff']","['Mariah Carey', 'James""Big Jim"" Wright', 'Randy Jackson', 'Kuk Harrell', 'Brian Garten', 'Josh Gudwin', ""Chris 'TEK' O'Ryan"", 'Brett ""Snacky"" Pierce', 'Thomas Kanarek', 'Kevin Guarnieri', 'Martin Cooke', 'Peter Mack', 'Greg DePante', 'Charlie Paakkari', 'Phil Tan', 'Damien Lewis', 'Keith Gretlein', 'Tom Coyne']"
